Entity,ISO3 Code,Region Name,Sub-region Name,Year,Internet users (%),Grupo de Ingresos del Banco Mundial ,Fixed broadband subscriptions (per 100 people),Number of internet users (OWID based on WB & UN)
Africa Eastern and Southern,,,,1990,0.0,,,
Africa Eastern and Southern,,,,1991,0.0015987650680518,,,
Africa Eastern and Southern,,,,1992,0.0046643105220642,,,
Africa Eastern and Southern,,,,1993,0.0136089801269559,,,
Africa Eastern and Southern,,,,1994,0.0296583471803235,,,
Africa Eastern and Southern,,,,1995,0.0812162187313169,,,
Africa Eastern and Southern,,,,1996,0.106348941915746,,,
Africa Eastern and Southern,,,,1997,0.202055769965555,,,
Africa Eastern and Southern,,,,1998,0.367790377676976,,,
Africa Eastern and Southern,,,,1999,0.544145756214162,,,
Africa Eastern and Southern,,,,2000,0.743921679270876,,,
Africa Eastern and Southern,,,,2001,0.930779519522306,,,
Africa Eastern and Southern,,,,2002,1.10689607706053,,,
Africa Eastern and Southern,,,,2003,1.40818976008011,,,
Africa Eastern and Southern,,,,2004,1.71679138112129,,,
Africa Eastern and Southern,,,,2005,1.83534488985186,,0.0614095389959254,
Africa Eastern and Southern,,,,2006,2.13614074042728,,0.112406495100231,
Africa Eastern and Southern,,,,2007,2.97794447577724,,0.13373192572462,
Africa Eastern and Southern,,,,2008,3.07089536531711,,0.145390609718297,
Africa Eastern and Southern,,,,2009,3.71530402776679,,0.180793682039157,
Africa Eastern and Southern,,,,2010,6.83708439817341,,0.197978019135791,
Africa Eastern and Southern,,,,2011,8.21733034430149,,0.29452462337523,
Africa Eastern and Southern,,,,2012,10.2528175683957,,0.354239756744278,
Africa Eastern and Southern,,,,2013,11.8766800032232,,0.457200827987643,
Africa Eastern and Southern,,,,2014,14.3665076341758,,0.540377819686139,
Africa Eastern and Southern,,,,2015,17.4836666165298,,0.519799225324479,
Africa Eastern and Southern,,,,2016,17.5854372566907,,0.513050810283371,
Africa Eastern and Southern,,,,2017,21.2818313064622,,0.544641692243999,
Africa Western and Central,,,,1990,0.0,,,
Africa Western and Central,,,,1991,0.0,,,
Africa Western and Central,,,,1992,0.0,,,
Africa Western and Central,,,,1993,0.0,,,
Africa Western and Central,,,,1994,4.3016238906e-06,,,
Africa Western and Central,,,,1995,0.000128512174414,,,
Africa Western and Central,,,,1996,0.0070349480412736,,,
Africa Western and Central,,,,1997,0.0198422946306781,,,
Africa Western and Central,,,,1998,0.0354244563365098,,,
Africa Western and Central,,,,1999,0.0862388487127028,,,
Africa Western and Central,,,,2000,0.138960653380905,,,
Africa Western and Central,,,,2001,0.20959643027656,,,
Africa Western and Central,,,,2002,0.411060803424681,,,
Africa Western and Central,,,,2003,0.657285158944135,,,
Africa Western and Central,,,,2004,1.17786496755986,,,
Africa Western and Central,,,,2005,2.32674116599097,,0.0102164555491789,
Africa Western and Central,,,,2006,3.46323637758135,,,
Africa Western and Central,,,,2007,4.24017376957547,,0.0497949957743428,
Africa Western and Central,,,,2008,4.99156545490828,,0.0649220463284784,
Africa Western and Central,,,,2009,5.80796073263232,,0.0773979183335294,
Africa Western and Central,,,,2010,7.24207193407158,,0.107399387252273,
Africa Western and Central,,,,2011,8.66331049088811,,,
Africa Western and Central,,,,2012,10.3355545850363,,0.110297235631765,
Africa Western and Central,,,,2013,13.0852009626666,,0.108219428955186,
Africa Western and Central,,,,2014,16.0775447603499,,0.135123015538613,
Africa Western and Central,,,,2015,25.5701843341121,,0.145258497404807,
Africa Western and Central,,,,2016,22.0277378732684,,0.242682760660916,
Africa Western and Central,,,,2017,15.0678806713011,,0.238495064441612,
Arab World,,,,1990,0.0,,,
Arab World,,,,1991,0.0,,,
Arab World,,,,1992,0.0,,,
Arab World,,,,1993,0.0008926390452879,,,
Arab World,,,,1994,0.0028156053019303,,,
Arab World,,,,1995,0.0141128548752629,,,
Arab World,,,,1996,0.0384612619716022,,,
Arab World,,,,1997,0.135488159182127,,,
Arab World,,,,1998,0.270604169151639,,,
Arab World,,,,1999,0.615844605643569,,,
Arab World,,,,2000,1.16588724320977,,,
Arab World,,,,2001,1.59036859126465,,,
Arab World,,,,2002,2.72740391954483,,,
Arab World,,,,2003,3.68668240412587,,,
Arab World,,,,2004,7.08195800918121,,0.146468970819515,
Arab World,,,,2005,8.46430059427144,,0.308317665036474,
Arab World,,,,2006,11.6967073044332,,0.493235367076755,
Arab World,,,,2007,14.2275432517325,,0.873787503352866,
Arab World,,,,2008,18.5970961481042,,1.27519129645892,
Arab World,,,,2009,21.5686671530085,,1.965220450212,
Arab World,,,,2010,24.9477618371479,,2.10104319060603,
Arab World,,,,2011,26.7538745888753,,2.67567919601142,
Arab World,,,,2012,30.3700753134907,,3.03805359133301,
Arab World,,,,2013,33.1127975750516,,2.80361661508457,
Arab World,,,,2014,36.6238490712225,,3.34601834103202,
Arab World,,,,2015,43.6963346506088,,5.1050823915082,
Arab World,,,,2016,41.487476705116,,5.54587906430895,
Arab World,,,,2017,49.9674380621178,,6.96032913349187,
Arab World,,,,2018,63.1667284913872,,7.6826146299206,
Bolivia,,,,1990,0.0,,,0.0
Bolivia,,,,1991,0.0,,,
Bolivia,,,,1992,0.0,,,
Bolivia,,,,1993,0.0,,,
Bolivia,,,,1994,0.0,,,
Bolivia,,,,1995,0.066807568,,,5055.0
Bolivia,,,,1996,0.196081174,,,15132.0
Bolivia,,,,1997,0.447839036,,,35249.0
Bolivia,,,,1998,0.626484062,,,50283.0
Bolivia,,,,1999,0.981815187,,,80339.0
Bolivia,,,,2000,1.442763585,,,120319.0
Bolivia,,,,2001,2.120462534,,,180162.0
Bolivia,,,,2002,3.117192947,,0.038088423,269741.0
Bolivia,,,,2003,3.508596401,,0.064452213,309122.0
Bolivia,,,,2004,4.439924601,,0.096184392,398161.0
Bolivia,,,,2005,5.227583957,,0.14051744,477038.0
Bolivia,,,,2006,6.200671255,,0.187207717,575629.0
Bolivia,,,,2007,10.49924432,,0.355465992,991280.0
Bolivia,,,,2008,12.5,,0.81586561,1199982.0
Bolivia,,,,2009,16.8,,0.972545573,1639470.0
Bolivia,,,,2010,22.4,,0.95484043,2221686.0
Bolivia,,,,2011,30.0,,0.720085491,3023503.0
Bolivia,,,,2012,35.34,,1.124606318,3618464.0
Bolivia,,,,2013,36.99,,1.461700715,3847058.0
Bolivia,,,,2014,34.6,,1.613811476,3654507.0
Bolivia,,,,2015,35.56227065,,1.664723963,3813949.0
Bolivia,,,,2016,39.6975146,,2.606905809,4322219.0
Bolivia,,,,2017,43.83227607,,3.394987249,
Bolivia,,,,2018,44.28614216,,4.4401541,
Brunei,,,,1990,0.0,,,0.0
Brunei,,,,1991,0.0,,,
Brunei,,,,1992,0.0,,,
Brunei,,,,1993,0.0,,,
Brunei,,,,1994,0.0,,,
Brunei,,,,1995,1.017080166,,,3023.0
Brunei,,,,1996,3.303349927,,,10065.0
Brunei,,,,1997,4.831057905,,,15075.0
Brunei,,,,1998,6.284742844,,,20062.0
Brunei,,,,1999,7.671041206,,,25030.0
Brunei,,,,2000,8.996284534,,,29979.0
Brunei,,,,2001,12.91776908,,0.5575913,43936.0
Brunei,,,,2002,15.32987986,,0.795023963,53174.0
Brunei,,,,2003,19.59500322,,1.086350423,69247.0
Brunei,,,,2004,29.71560414,,1.742188391,106834.0
Brunei,,,,2005,36.46639195,,2.225606249,133160.0
Brunei,,,,2006,42.18634916,,2.420981843,156195.0
Brunei,,,,2007,44.68,,3.098155828,167489.0
Brunei,,,,2008,46.0,,4.451783112,174456.0
Brunei,,,,2009,49.0,,5.217162535,188048.0
Brunei,,,,2010,53.0,,5.583229983,205991.0
Brunei,,,,2011,56.0,,5.889181281,220647.0
Brunei,,,,2012,60.27306504,,4.974823867,240940.0
Brunei,,,,2013,64.5,,6.81393894,261687.0
Brunei,,,,2014,68.77,,7.384404384,283129.0
Brunei,,,,2015,71.2,,8.29704006,297290.0
Brunei,,,,2016,90.0,,8.604097189,380876.0
Brunei,,,,2017,94.86669164,,9.675998238,
Brunei,,,,2018,95.0,,11.52826701,
Brunei,,,,2019,95.0,,12.50793358,
Cape Verde,,,,1990,0.0,,,0.0
Cape Verde,,,,1991,0.0,,,
Cape Verde,,,,1992,0.0,,,
Cape Verde,,,,1993,0.0,,,
Cape Verde,,,,1994,0.0,,,
Cape Verde,,,,1995,0.0,,,
Cape Verde,,,,1997,0.24096792,,,984.0
Cape Verde,,,,1998,0.472735008,,,1973.0
Cape Verde,,,,1999,1.159982461,,,4945.0
Cape Verde,,,,2000,1.822443852,,,7929.0
Cape Verde,,,,2001,2.685332713,,,11915.0
Cape Verde,,,,2002,3.518757175,,,15909.0
Cape Verde,,,,2003,4.324885391,,,19901.0
Cape Verde,,,,2004,5.31883207,,0.061977544,24874.0
Cape Verde,,,,2005,6.074087107,,0.202361824,28826.0
Cape Verde,,,,2006,6.808911008,,0.386640237,32737.0
Cape Verde,,,,2007,8.28321982,,0.806845451,40293.0
Cape Verde,,,,2008,14.0,,1.534807692,68841.0
Cape Verde,,,,2009,21.0,,2.254500474,104362.0
Cape Verde,,,,2010,30.0,,3.262127172,150715.0
Cape Verde,,,,2011,32.0,,4.276175337,162581.0
Cape Verde,,,,2012,34.74,,3.929458569,178556.0
Cape Verde,,,,2013,37.5,,4.143054785,195040.0
Cape Verde,,,,2014,40.26,,3.680699866,211944.0
Cape Verde,,,,2015,42.68301416,,3.157355124,227447.0
Cape Verde,,,,2016,50.32281787,,2.925937501,271522.0
Cape Verde,,,,2017,57.16214635,,2.789405728,312327.0
Caribbean Small States,,,,1990,0.0,,,
Caribbean Small States,,,,1991,0.0,,,
Caribbean Small States,,,,1992,0.0,,,
Caribbean Small States,,,,1993,0.0,,,
Caribbean Small States,,,,1994,0.0148339052052719,,,
Caribbean Small States,,,,1995,0.168093320760203,,,
Caribbean Small States,,,,1996,0.552033163495472,,,
Caribbean Small States,,,,1997,0.900278278951301,,,
Caribbean Small States,,,,1998,1.93921057136022,,,
Caribbean Small States,,,,1999,3.36610418226324,,,
Caribbean Small States,,,,2000,4.91930591106778,,,
Caribbean Small States,,,,2001,8.30408436946586,,,
Caribbean Small States,,,,2002,11.7495839062206,,0.416715323321868,
Caribbean Small States,,,,2003,14.9038067909455,,0.987274319502517,
Caribbean Small States,,,,2004,16.8171367688713,,1.5451800104039,
Caribbean Small States,,,,2005,19.4232960243223,,2.05890296131045,
Caribbean Small States,,,,2006,22.2926656186356,,3.09721638360778,
Caribbean Small States,,,,2007,24.4998464040913,,3.70906517484085,
Caribbean Small States,,,,2008,27.6679876313022,,4.84531277750584,
Caribbean Small States,,,,2009,31.7508974648875,,6.26907817695401,
Caribbean Small States,,,,2010,35.3910946256284,,6.78508565463482,
Caribbean Small States,,,,2011,42.1412538804617,,7.09566318534925,
Caribbean Small States,,,,2012,42.4939916495827,,8.86866172759767,
Caribbean Small States,,,,2013,45.2698401409788,,9.46773697118364,
Caribbean Small States,,,,2014,48.3336918473278,,10.5021829125024,
Caribbean Small States,,,,2015,50.295468139717,,12.4218729664612,
Caribbean Small States,,,,2016,52.9532109498586,,13.3691438093376,
Caribbean Small States,,,,2017,59.524759245663,,14.0020765637519,
Central Europe and the Baltics,,,,1990,0.0,,,
Central Europe and the Baltics,,,,1991,0.0021102105559482,,,
Central Europe and the Baltics,,,,1992,0.0233776607654713,,,
Central Europe and the Baltics,,,,1993,0.140246288560596,,,
Central Europe and the Baltics,,,,1994,0.367437455568314,,,
Central Europe and the Baltics,,,,1995,0.587341802612459,,,
Central Europe and the Baltics,,,,1996,1.06881245825993,,,
Central Europe and the Baltics,,,,1997,1.79192320993254,,,
Central Europe and the Baltics,,,,1998,3.51519903832046,,,
Central Europe and the Baltics,,,,1999,4.96728024848547,,,
Central Europe and the Baltics,,,,2000,7.05382123604702,,,
Central Europe and the Baltics,,,,2001,10.2388299968777,,0.093375570080013,
Central Europe and the Baltics,,,,2002,18.2554759298689,,0.421324863618636,
Central Europe and the Baltics,,,,2003,22.593121099384,,0.956957873877111,
Central Europe and the Baltics,,,,2004,29.2463406861194,,2.03119035714998,
Central Europe and the Baltics,,,,2005,34.7508894916645,,3.58256577756282,
Central Europe and the Baltics,,,,2006,40.8006088189678,,7.77503863043785,
Central Europe and the Baltics,,,,2007,45.2841740271644,,11.4684565206808,
Central Europe and the Baltics,,,,2008,50.6865288171857,,13.4517403008167,
Central Europe and the Baltics,,,,2009,55.0986207601394,,15.9139499341208,
Central Europe and the Baltics,,,,2010,58.5913129651185,,17.1855020758211,
Central Europe and the Baltics,,,,2011,59.1103467325323,,19.2936500309457,
Central Europe and the Baltics,,,,2012,61.7163415104824,,19.9944804917808,
Central Europe and the Baltics,,,,2013,63.463990446104,,21.1049074222517,
Central Europe and the Baltics,,,,2014,66.483392613176,,21.8780422428559,
Central Europe and the Baltics,,,,2015,67.3511702922402,,22.5687002251853,
Central Europe and the Baltics,,,,2016,71.3419807922689,,23.3693603964209,
Central Europe and the Baltics,,,,2017,73.4095673098879,,24.4318322612127,
Central Europe and the Baltics,,,,2018,75.9821372719383,,25.4918315630701,
Central Europe and the Baltics,,,,2019,80.2319599299475,,26.5000898834909,
Cote d'Ivoire,,,,1990,0.0,,,0.0
Cote d'Ivoire,,,,1991,0.0,,,
Cote d'Ivoire,,,,1992,0.0,,,
Cote d'Ivoire,,,,1993,0.0,,,
Cote d'Ivoire,,,,1994,0.0,,,
Cote d'Ivoire,,,,1995,0.000200256,,,29.0
Cote d'Ivoire,,,,1996,0.00840978,,,1261.0
Cote d'Ivoire,,,,1997,0.018828361,,,2908.0
Cote d'Ivoire,,,,1998,0.060974439,,,9686.0
Cote d'Ivoire,,,,1999,0.118685917,,,19346.0
Cote d'Ivoire,,,,2000,0.231461671,,,38623.0
Cote d'Ivoire,,,,2001,0.395747702,,,67436.0
Cote d'Ivoire,,,,2002,0.497929361,,,86473.0
Cote d'Ivoire,,,,2003,0.758669629,,0.002346643,134128.0
Cote d'Ivoire,,,,2004,0.849282415,,0.004596423,152852.0
Cote d'Ivoire,,,,2005,1.039238205,,0.006750383,190558.0
Cote d'Ivoire,,,,2006,1.524900791,,0.053319354,285148.0
Cote d'Ivoire,,,,2007,1.8,,0.052161475,343547.0
Cote d'Ivoire,,,,2008,1.9,,0.051005916,370462.0
Cote d'Ivoire,,,,2009,2.0,,0.049852569,398727.0
Cote d'Ivoire,,,,2010,2.7,,,550836.0
Cote d'Ivoire,,,,2011,2.9,,,605964.0
Cote d'Ivoire,,,,2012,5.0,,0.214259977,1070930.0
Cote d'Ivoire,,,,2013,12.0,,0.254809235,2635957.0
